,User,Category,Label,SecSpent,TotSec,LearnType,Level,UserCumSec,difficulty
270,1,1,ks2b,5,168591,6,1,166599,-1
271,1,1,ks2a,475,168596,6,0,167074,-1
272,1,1,ks2b2,251,169071,4,1,167325,-1
273,1,1,ks2b2,14,169322,4,1,167339,-1
274,1,1,ks2b2b1_1a,235,169336,5,1,167574,-1
275,1,1,ks2b,60,169571,6,1,167634,-1
276,1,1,Übersicht,9,169571,6,1,167643,-1
277,1,2,ks3a,36,169580,6,0,167679,-1
278,1,2,bs3a1,183,169616,4,0,167862,-1
279,1,2,ks3a7,5,169799,4,0,167867,-1
280,1,2,bs3a1,33,169804,4,0,167900,-1
281,1,2,ks3a1k2_1a,318,169837,3,0,1806,-1
282,1,2,ks3a2b1_1a,24,170155,5,0,167924,-1
283,1,2,ks3a3,128,170179,4,0,168052,-1
284,1,2,bs3a1,4,170307,4,0,168056,-1
285,1,2,ks3a7,42,170311,4,0,168098,-1
286,1,2,ks3a2,336,170353,4,0,168434,-1
287,1,2,ks3a4,158,170689,4,0,168592,-1
288,1,2,ks3a4k1_1a,37,170847,3,0,1843,-1
289,1,2,ks3a4,4,170884,4,0,168596,-1
290,1,2,Übersicht,4,170888,6,0,168600,-1
291,1,2,ks3a,4,170892,6,0,168604,-1
292,1,2,ks3b,3,170896,6,1,168607,-1
293,1,2,ks3b2,517,170899,4,1,169124,-1
294,1,2,ks3b2k3_1a,34,171416,3,1,1877,-1
295,1,2,ks3b2,475,171450,4,1,169599,-1
296,1,2,ks3b2k3_1a,49,171925,3,1,1926,-1
297,1,2,ks3b1,9,171974,4,1,169608,-1
298,1,2,ks3b2,433,171983,4,1,170041,-1
299,1,2,ks3b1,7,172416,4,1,170048,-1
300,1,2,ks3b1b1_1a,120,172423,5,1,170168,-1
301,1,2,ks3b1k1_1a,1,172543,3,1,1927,-1
302,1,2,ks3b1,81,172544,4,1,170249,-1
303,1,3,kd1a2,1,172625,4,0,170250,-1
304,1,3,kd1a,60,172626,6,0,170310,-1
305,1,3,Übersicht,2,172626,6,0,170312,-1
306,1,2,ks3b,175,172628,6,1,170487,-1
307,1,4,kd2a4,4,172803,4,0,170491,-1
308,1,4,kd2a,25,172807,6,0,170516,-1
309,1,4,Übersicht,5,172832,6,0,170521,-1
310,1,3,kd1a,703,172837,6,0,171224,-1
311,1,4,kd2a1,568,173540,4,0,171792,-1
312,1,4,kd2a1b2_1a,53,174108,5,0,171845,-1
313,1,4,kd2a1,178,174161,4,0,172023,-1
314,1,4,kd2a1,7,174339,4,0,172030,-1
315,1,4,kd2a1b4_1a,223,174346,5,0,172253,-1
316,1,4,kd2a2,4,174569,4,0,172257,-1
