,User,Topic,Category,Label,SecSpent,TotSec,LearnType,Level,UserCumSec,difficulty
286,1,17,2,ks3a2,336,47074022,4,0,168434,-1
287,1,18,2,ks3a4,158,47074358,4,0,168592,-1
288,1,18,2,ks3a4k1_1a,37,47074516,3,0,1843,-1
289,1,18,2,ks3a4,4,47074553,4,0,168596,-1
290,1,-1,2,Übersicht,4,47074557,6,0,168600,-1
291,1,-1,2,ks3a,4,47074561,6,0,168604,-1
292,1,-1,2,ks3b,3,47074565,6,1,168607,-1
293,1,19,2,ks3b2,517,47074568,4,1,169124,-1
294,1,19,2,ks3b2k3_1a,34,47075085,3,1,1877,-1
295,1,19,2,ks3b2,475,47075119,4,1,169599,-1
296,1,19,2,ks3b2k3_1a,49,47075594,3,1,1926,-1
297,1,20,2,ks3b1,9,47075643,4,1,169608,-1
298,1,19,2,ks3b2,433,47075652,4,1,170041,-1
299,1,20,2,ks3b1,7,47076085,4,1,170048,-1
300,1,20,2,ks3b1b1_1a,120,47076092,5,1,170168,-1
301,1,20,2,ks3b1k1_1a,1,47076212,3,1,1927,-1
302,1,20,2,ks3b1,81,47076213,4,1,170249,-1
303,1,21,3,kd1a2,1,47076294,4,0,170250,-1
304,1,-1,3,kd1a,60,47076295,6,0,170310,-1
305,1,-1,3,Übersicht,2,47076295,6,0,170312,-1
306,1,-1,2,ks3b,175,47076297,6,1,170487,-1
307,1,22,4,kd2a4,4,47076472,4,0,170491,-1
308,1,-1,4,kd2a,25,47076476,6,0,170516,-1
309,1,-1,4,Übersicht,5,47076501,6,0,170521,-1
310,1,-1,3,kd1a,703,47076506,6,0,171224,-1
311,1,23,4,kd2a1,568,47077209,4,0,171792,-1
312,1,23,4,kd2a1b2_1a,53,47077777,5,0,171845,-1
313,1,23,4,kd2a1,178,47077830,4,0,172023,-1
314,1,23,4,kd2a1,7,47078008,4,0,172030,-1
315,1,23,4,kd2a1b4_1a,223,47078015,5,0,172253,-1
316,1,24,4,kd2a2,4,47078238,4,0,172257,-1
317,1,25,4,kd2a3,6,47078242,4,0,172263,-1
318,1,-1,4,Logout,0,47078248,6,0,172263,-1
319,2,-1,4,Tour,26,46904071,6,0,26,-1
320,2,-1,4,Übersicht,45,46904097,6,0,71,-1
321,2,-1,2,ks3a,42,46904142,6,0,113,-1
322,2,13,2,bs3a1,90,46904184,4,0,203,-1
323,2,15,2,ks3a7,199,46904274,4,0,402,-1
324,2,17,2,ks3a2,77,46904473,4,0,479,-1
325,2,18,2,ks3a4,34,46904550,4,0,513,-1
326,2,-1,3,kd1a,29,46904584,6,0,542,-1
327,2,-1,3,Übersicht,10,46904613,6,0,552,-1
328,2,-1,2,ks3a,62,46904623,6,0,614,-1
329,2,21,3,kd1a2,70,46904685,4,0,684,-1
330,2,22,4,kd2a4,7,46904755,4,0,691,-1
331,2,-1,4,kd2a,4,46904762,6,0,695,-1
332,2,-1,4,Übersicht,5,46904766,6,0,700,-1
333,2,-1,3,kd1a,92,46904771,6,0,792,-1
334,2,23,4,kd2a1,863,46904863,4,0,1655,-1
335,2,24,4,kd2a2,324,46905726,4,0,1979,-1
336,2,25,4,kd2a3,59,46906050,4,0,2038,-1
337,2,23,4,kd2a1,6,46906109,4,0,2044,-1
338,2,24,4,kd2a2,204,46906115,4,0,2248,-1
339,2,24,4,kd2a2,4,46906319,4,0,2252,-1
340,2,25,4,kd2a3,554,46906323,4,0,2806,-1
341,2,25,4,kd2a3b2_1a,1607,46906877,5,0,4413,-1
342,2,25,4,kd2a3,121,46908484,4,0,4534,-1
343,2,25,4,kd2a3b3_1a,5,46908605,5,0,4539,-1
344,2,25,4,kd2a3,116,46908610,4,0,4655,-1
345,2,25,4,kd2a3b4_1a,10,46908726,5,0,4665,-1
346,2,25,4,kd2a3b4_1a,18,46908736,5,0,4683,-1
347,2,25,4,kd2a3,40,46908754,4,0,4723,-1
348,2,-1,4,kd2a,6,46908794,6,0,4729,-1
349,2,25,4,kd2a3,3,46908800,4,0,4732,-1
350,2,22,4,kd2a4,40,46908803,4,0,4772,-1
351,2,22,4,kd2a4b2_1a,10,46908843,5,0,4782,-1
352,2,22,4,kd2a4,10,46908853,4,0,4792,-1
353,2,22,4,kd2a4b1_1a,74,46908863,5,0,4866,-1
354,2,22,4,kd2a4,57,46908937,4,0,4923,-1
355,2,22,4,kd2a4b3_1a,34,46908994,5,0,4957,-1
356,2,22,4,kd2a4,64,46909028,4,0,5021,-1
357,2,22,4,kd2a4b4_1a,18,46909092,5,0,5039,-1
358,2,22,4,kd2a4,9,46909110,4,0,5048,-1
359,2,23,4,kd2a1,127,46909119,4,0,5175,-1
360,2,23,4,kd2a1b1_1a,37,46909246,5,0,5212,-1
361,2,23,4,kd2a1,13,46909283,4,0,5225,-1
