Task,Date/Time,User,ResponsTask,Aufgabenniveau,Code
KS2a1K1_1,2021-10-13 13:03:00,HE1021-934,twr,,KA16LY
KS1c5U9_1,2021-10-13 13:03:18,HE1021-932,f,mittel,FR14AN
KS2c1U9_1,2021-10-13 13:03:31,HE1021-924,r,,BE19UT
KS2c5U4_1,2021-10-13 13:03:35,HE1021-938,r,hoch,HA12BE
KS1c5U10_1,2021-10-13 13:04:40,HE1021-932,twr,hoch,FR14AN
KS2c5U10_1,2021-10-13 13:04:43,HE1021-938,r,hoch,HA12BE
KS2a1K2_1,2021-10-13 13:05:12,HE1021-934,twr,,KA16LY
KS2c2U1_1,2021-10-13 13:05:14,HE1021-924,twr,,BE19UT
KS2a2K3_1,2021-10-13 13:05:30,HE1021-928,r,,FR28JO
KS2c1U9_1,2021-10-13 13:05:55,HE1021-933,r,,SC24SY
KS1c6U4_1,2021-10-13 13:06:45,HE1021-932,r,niedrig,FR14AN
KS2c6U7_1,2021-10-13 13:06:45,HE1021-938,r,hoch,HA12BE
KS2a1K3_1,2021-10-13 13:06:50,HE1021-934,twr,,KA16LY
KS3c5U5_1,2021-10-13 13:07:25,HE1021-940,twr,mittel,GR04ST
KS2a1K1_1,2021-10-13 13:07:27,HE1021-935,twr,,SI17SO
KS2c1U1_1,2021-10-13 13:07:40,HE1021-933,twr,mittel,SC24SY
KS2a1K4_1,2021-10-13 13:08:19,HE1021-934,twr,,KA16LY
KS2c6U8_1,2021-10-13 13:08:48,HE1021-938,r,hoch,HA12BE
KS2c2U2_1,2021-10-13 13:09:12,HE1021-933,twr,,SC24SY
KS3c5U4_1,2021-10-13 13:10:03,HE1021-940,r,hoch,GR04ST
KS2a3K4_1,2021-10-13 13:11:45,HE1021-935,r,,SI17SO
KS2a2K2_1,2021-10-13 13:12:31,HE1021-929,r,,RU19YV
KS3c4U4_1,2021-10-13 13:12:56,HE1021-940,r,mittel,GR04ST
KS3c4U6_1,2021-10-13 13:14:42,HE1021-940,r,mittel,GR04ST
KS2a2K3_1,2021-10-13 13:14:52,HE1021-929,f,,RU19YV
KS3c1U4_1,2021-10-13 13:15:07,HE1021-938,twr,hoch,HA12BE
KS2c2U10_1,2021-10-13 13:15:17,HE1021-924,r,,BE19UT
KS2c4U6_1,2021-10-13 13:15:26,HE1021-933,twr,hoch,SC24SY
KS2a4K2_1,2021-10-13 13:16:52,HE1021-935,r,,SI17SO
KS2a2K1_1,2021-10-13 13:16:54,HE1021-934,r,,KA16LY
KS3c2U9_1,2021-10-13 13:16:55,HE1021-938,twr,mittel,HA12BE
KS3c4U10_1,2021-10-13 13:19:40,HE1021-940,twr,mittel,GR04ST
KS2a5K4_1,2021-10-13 13:19:50,HE1021-935,twr,,SI17SO
KS2a2K2_1,2021-10-13 13:21:06,HE1021-934,r,,KA16LY
KS3c4U5_1,2021-10-13 13:21:21,HE1021-940,twr,hoch,GR04ST
KS2a2K3_1,2021-10-13 13:22:34,HE1021-934,twr,,KA16LY
KS2a1K1_1,2021-10-13 13:22:48,HE1021-932,twr,,FR14AN
KS1a1K1_1,2021-10-14 11:56:06,HE1021-950,twr,,ER14CL
KS1a1K1_1,2021-10-14 11:56:13,HE1021-956,twr,,BÜ31MI
KS1a1K2_1,2021-10-14 11:57:26,HE1021-956,twr,,BÜ31MI
KS1c1U8_1,2021-10-14 11:58:20,HE1021-954,r,mittel,FU14KE
KS1c1U3_1,2021-10-14 11:58:55,HE1021-953,f,niedrig,LI13SI
KS1a1K3_1,2021-10-14 11:59:31,HE1021-956,f,,BÜ31MI
KS1a1K2_1,2021-10-14 11:59:45,HE1021-950,twr,,ER14CL
KS1a1K3_1,2021-10-14 12:01:11,HE1021-950,twr,,ER14CL
KS1a1K4_1,2021-10-14 12:01:56,HE1021-956,r,,BÜ31MI
KS1a1K2_1,2021-10-14 12:02:37,HE1021-952,r,,FR06BR
KS1c2U13_1,2021-10-14 12:11:03,HE1021-954,r,mittel,FU14KE
KS1a2K1_1,2021-10-14 12:14:45,HE1021-956,f,,BÜ31MI
KS1c4U6_1,2021-10-14 12:17:36,HE1021-954,r,mittel,FU14KE
KS1a2K2_1,2021-10-14 12:17:48,HE1021-956,twr,,BÜ31MI
KS1a2K3_1,2021-10-14 12:18:11,HE1021-951,twr,,WE20SA
KS1a2K1_1,2021-10-14 12:21:51,HE1021-952,twr,,FR06BR
KS1a2K4_1,2021-10-14 12:23:32,HE1021-951,r,,WE20SA
KS1a2K3_1,2021-10-14 12:24:29,HE1021-956,r,,BÜ31MI
KS1a2K2_1,2021-10-14 12:26:53,HE1021-952,twr,,FR06BR
KS1a4K1_1,2021-10-14 12:27:06,HE1021-951,twr,,WE20SA
KS1c5U10_1,2021-10-14 12:27:22,HE1021-954,f,hoch,FU14KE
KS1a4K3_1,2021-10-14 12:29:06,HE1021-950,r,,ER14CL
KS1a2K3_1,2021-10-14 12:33:10,HE1021-952,twr,,FR06BR
KS1a2K4_1,2021-10-14 12:34:03,HE1021-956,r,,BÜ31MI
KS1c5U8_1,2021-10-14 12:34:23,HE1021-953,twr,niedrig,LI13SI
KS1a2K4_1,2021-10-14 12:34:48,HE1021-952,f,,FR06BR
KS1c6U5_1,2021-10-14 12:36:00,HE1021-954,f,hoch,FU14KE
KS1a5K1_1,2021-10-14 12:36:26,HE1021-951,f,,WE20SA
KS1c6U4_1,2021-10-14 12:39:35,HE1021-953,r,niedrig,LI13SI
KS1a4K1_1,2021-10-14 12:41:45,HE1021-956,r,,BÜ31MI
KS1a4K1_1,2021-10-14 12:43:43,HE1021-952,r,,FR06BR
KS1a4K2_1,2021-10-14 12:44:41,HE1021-952,r,,FR06BR
KS1a4K2_1,2021-10-14 12:45:42,HE1021-956,r,,BÜ31MI
KS1c6U2_1,2021-10-14 12:45:51,HE1021-954,f,hoch,FU14KE
KS1a4K3_1,2021-10-14 12:46:33,HE1021-952,r,,FR06BR
KS1a5K1_1,2021-10-14 12:47:48,HE1021-950,f,,ER14CL
KS1a4K3_1,2021-10-14 12:49:03,HE1021-956,f,,BÜ31MI
KS1a4K4_1,2021-10-14 12:49:39,HE1021-952,r,,FR06BR
KS1a4K4_1,2021-10-14 12:51:56,HE1021-956,r,,BÜ31MI
KS1a5K1_1,2021-10-14 12:57:32,HE1021-952,twr,,FR06BR
KS1a5K2_1,2021-10-14 12:58:39,HE1021-952,twr,,FR06BR
KS1a5K3_1,2021-10-14 13:01:25,HE1021-952,r,,FR06BR
KS1a5K4_1,2021-10-14 13:03:00,HE1021-952,r,,FR06BR
KS1a5K1_1,2021-10-14 13:03:36,HE1021-956,r,,BÜ31MI
KS1a5K2_1,2021-10-14 13:05:28,HE1021-956,r,,BÜ31MI
KS1a5K3_1,2021-10-14 13:07:54,HE1021-956,f,,BÜ31MI
KS1a5K4_1,2021-10-14 13:10:58,HE1021-956,r,,BÜ31MI
KS1c2U13_1,2021-10-14 13:13:39,HE1021-952,r,mittel,FR06BR
KS1c2U9_1,2021-10-14 13:16:20,HE1021-952,r,mittel,FR06BR
KS2c2U6_1,2021-10-14 13:20:11,HE1021-953,r,,LI13SI
KS2c2U1_1,2021-10-14 13:21:32,HE1021-953,r,,LI13SI
KS2c2U10_1,2021-10-14 13:22:31,HE1021-953,twr,,LI13SI
KS2a1K2_1,2021-10-14 13:23:13,HE1021-952,twr,,FR06BR
KS2c2U2_1,2021-10-14 13:23:56,HE1021-953,r,,LI13SI
KD1c2U6_1,2021-10-15 11:07:16,HE1021-940,r,niedrig,GR04ST
KD1c2U7_1,2021-10-15 11:08:57,HE1021-940,r,niedrig,GR04ST
KD2a4K1_1,2021-10-15 11:09:16,HE1021-928,twr,,FR28JO
KD2a4K2_1,2021-10-15 11:10:49,HE1021-928,twr,,FR28JO
KS2d1U6_1,2021-10-15 11:10:51,HE1021-933,r,,SC24SY
KS2d2U4_1,2021-10-15 11:13:00,HE1021-933,twr,,SC24SY
KD2a4K1_1,2021-10-15 11:13:05,HE1021-922,r,,NI12KA
KS2c3U1_1,2021-10-15 11:13:09,HE1021-932,twr,niedrig,FR14AN
KS2c2U6_1,2021-10-15 11:15:11,HE1021-932,r,,FR14AN
KS2a1K1_1,2021-10-15 11:15:34,HE1021-952,twr,,FR06BR
KS3c2U9_1,2021-10-15 11:16:27,HE1021-953,r,mittel,LI13SI
KS2c2U4_1,2021-10-15 11:16:43,HE1021-932,r,,FR14AN
KD2a4K3_1,2021-10-15 11:16:54,HE1021-928,r,,FR28JO
KS2c6U7_1,2021-10-15 11:17:12,HE1021-924,f,hoch,BE19UT
KS2c2U1_1,2021-10-15 11:17:54,HE1021-932,twr,,FR14AN
KS1a1K1_1,2021-10-15 11:18:03,HE1021-942,r,,MA31CE
KD2a4K4_1,2021-10-15 11:18:37,HE1021-928,r,,FR28JO
KS2a1K3_1,2021-10-15 11:18:39,HE1021-952,twr,,FR06BR
KS3c1U5_1,2021-10-15 11:18:46,HE1021-953,r,niedrig,LI13SI
KS2c2U5_1,2021-10-15 11:19:34,HE1021-932,f,,FR14AN
KS2c6U8_1,2021-10-15 11:20:12,HE1021-924,r,hoch,BE19UT
KS1a1K2_1,2021-10-15 11:21:06,HE1021-942,r,,MA31CE
KS1a1K1_1,2021-10-15 11:21:39,HE1021-957,r,,DR17CO
KS2c2U2_1,2021-10-15 11:21:41,HE1021-932,twr,,FR14AN
KS2c2U3_1,2021-10-15 11:22:05,HE1021-932,twr,,FR14AN
KS3c1U6_1,2021-10-15 11:22:38,HE1021-953,r,niedrig,LI13SI
KS2c3U3_1,2021-10-15 11:22:39,HE1021-932,r,niedrig,FR14AN
KS2c6U8_1,2021-10-15 11:25:04,HE1021-954,r,hoch,FU14KE
KD2a1K3_1,2021-10-15 11:25:37,HE1021-928,r,,FR28JO
KS2c3U6_1,2021-10-15 11:25:37,HE1021-932,r,niedrig,FR14AN
KS3c1U8_1,2021-10-15 11:26:07,HE1021-953,r,niedrig,LI13SI
KS2a2K1_1,2021-10-15 11:26:21,HE1021-952,r,,FR06BR
KS2c3U4_1,2021-10-15 11:27:00,HE1021-932,r,niedrig,FR14AN
KS2a2K2_1,2021-10-15 11:27:34,HE1021-952,twr,,FR06BR
KD2c4U2_1,2021-10-15 11:28:35,HE1021-940,r,niedrig,GR04ST
KS2d2U9_1,2021-10-15 11:28:40,HE1021-933,twr,,SC24SY
KS2c3U7_1,2021-10-15 11:29:23,HE1021-932,twr,hoch,FR14AN
KS2a2K3_1,2021-10-15 11:29:28,HE1021-952,r,,FR06BR
KS3c1U2_1,2021-10-15 11:29:35,HE1021-953,r,niedrig,LI13SI
KD2c4U4_1,2021-10-15 11:30:32,HE1021-940,r,niedrig,GR04ST
KS2c3U2_1,2021-10-15 11:31:40,HE1021-932,r,hoch,FR14AN
KD2c4U1_1,2021-10-15 11:31:46,HE1021-940,twr,niedrig,GR04ST
KS3c1U7_1,2021-10-15 11:31:54,HE1021-953,r,mittel,LI13SI
KS3c1U9_1,2021-10-15 11:32:44,HE1021-953,r,mittel,LI13SI
KS2c4U1_1,2021-10-15 11:33:18,HE1021-932,r,niedrig,FR14AN
KS3c1U10_1,2021-10-15 11:33:38,HE1021-953,r,mittel,LI13SI
KS2c4U8_1,2021-10-15 11:34:03,HE1021-932,twr,mittel,FR14AN
KD2c4U9_1,2021-10-15 11:34:12,HE1021-940,,hoch,GR04ST
KD2c4U9_1,2021-10-15 11:34:12,HE1021-940,twr,hoch,GR04ST
KS2c4U6_1,2021-10-15 11:35:44,HE1021-932,twr,hoch,FR14AN
KS2c5U3_1,2021-10-15 11:37:41,HE1021-932,r,niedrig,FR14AN
KS2a3K1_1,2021-10-15 11:38:13,HE1021-952,twr,,FR06BR
KS2c5U9_1,2021-10-15 11:38:57,HE1021-932,r,mittel,FR14AN
KS2c5U10_1,2021-10-15 11:39:59,HE1021-932,r,hoch,FR14AN
KS3c1U4_1,2021-10-15 11:41:48,HE1021-924,twr,hoch,BE19UT
KS1a2K3_1,2021-10-15 11:42:17,HE1021-942,twr,,MA31CE
KS2a3K2_1,2021-10-15 11:42:55,HE1021-952,twr,,FR06BR
KS2a3K3_1,2021-10-15 11:44:34,HE1021-952,twr,,FR06BR
KS2a3K4_1,2021-10-15 11:46:53,HE1021-952,r,,FR06BR
KS3c2U11_1,2021-10-15 11:47:16,HE1021-924,twr,mittel,BE19UT
KS3c1U11_1,2021-10-15 11:49:22,HE1021-933,r,hoch,SC24SY
KS2c3U1_1,2021-10-15 11:52:46,HE1021-953,r,niedrig,LI13SI
KS1a4K1_1,2021-10-15 11:53:08,HE1021-942,r,,MA31CE
KS2a4K1_1,2021-10-15 11:53:16,HE1021-952,r,,FR06BR
KS1a4K2_1,2021-10-15 11:54:18,HE1021-942,r,,MA31CE
KD1a2K1_1,2021-10-15 11:54:48,HE1021-951,f,,WE20SA
KS2a4K2_1,2021-10-15 11:54:56,HE1021-952,r,,FR06BR
KS3c4U4_1,2021-10-15 11:55:04,HE1021-924,r,mittel,BE19UT
KS2c4U1_1,2021-10-15 11:55:58,HE1021-953,r,niedrig,LI13SI
KS2a4K3_1,2021-10-15 11:56:29,HE1021-952,r,,FR06BR
KS1a4K3_1,2021-10-15 11:58:36,HE1021-942,r,,MA31CE
KD1a2K3_1,2021-10-15 11:58:51,HE1021-928,r,,FR28JO
KD1a2K4_1,2021-10-15 12:00:49,HE1021-928,f,,FR28JO
KS3a7K2_1,2021-10-15 12:00:55,HE1021-932,twr,,FR14AN
KD1c2U1_1,2021-10-15 12:02:10,HE1021-928,r,mittel,FR28JO
KS2a5K1_1,2021-10-15 12:03:07,HE1021-952,twr,,FR06BR
KD1c2U10_1,2021-10-15 12:03:37,HE1021-928,r,mittel,FR28JO
KD1c2U10_1,2021-10-15 12:03:37,HE1021-928,r,hoch,FR28JO
KD1c3U8_1,2021-10-15 12:05:33,HE1021-928,f,hoch,FR28JO
KS1a5K1_1,2021-10-15 12:05:52,HE1021-942,r,,MA31CE
KS3a7K3_1,2021-10-15 12:06:01,HE1021-932,twr,,FR14AN
KS2a5K2_1,2021-10-15 12:07:15,HE1021-952,r,,FR06BR
KS2a2K1_1,2021-10-15 12:07:43,HE1021-957,twr,,DR17CO
KS2a5K3_1,2021-10-15 12:09:21,HE1021-952,r,,FR06BR
